countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,SpeciesTotal
840,2,ALABAMA,218,BAY MINETTE,30.803493,-87.6374375,2016,2890,11
840,54,NEBRASKA,219,BERWYN 2,41.15686,-99.4724,2016,2890,11
840,63,NORTH CAROLINA,220,MARSHALL,35.939336,-92.442323,2016,2890,1
840,63,NORTH CAROLINA,223,LLOYD XROADS,36.2872477,-76.7205313,2016,2890,3
840,63,NORTH CAROLINA,224,DORTCHES,35.9991587,-77.8356539,2016,2890,4
840,17,COLORADO,228,EDLER,37.1640087,-102.2766499,2016,2890,2
840,51,MISSISSIPPI,229,LATIMER,30.4987757,-88.7992689,2016,2890,9
840,63,NORTH CAROLINA,231,JACKSON,38.3755147,-120.6668929,2016,2890,9
840,63,NORTH CAROLINA,232,BULLOCK,36.4516207,-78.4392029,2016,2890,4
840,27,GEORGIA,301,WOODBINE,30.928942,-81.671898,2016,2890,6
840,34,ILLINOIS,301,LAKE GALENA,42.3972257,-90.2808839,2016,2890,1
840,38,KANSAS,301,PITTSBURG,37.3099157,-94.7416989,2016,2890,43
840,27,GEORGIA,302,COUNCIL,64.5451414,-164.4368625,2016,2890,6
840,38,KANSAS,302,Morehead,37.3690207,-95.4488589,2016,2890,48
840,63,NORTH CAROLINA,302,SILOAM,33.5197045,-83.0957341,2016,2890,1
840,27,GEORGIA,303,HEADLIGHT,30.8156483,-82.7110995,2016,2890,9
840,38,KANSAS,303,Reece,37.7958024,-96.4347911,2016,2890,37
840,63,NORTH CAROLINA,303,OSMOND,36.4747308,-79.1152367,2016,2890,1
840,83,TEXAS,303,SEJITA,27.2961057,-98.5051649,2016,2890,64
840,27,GEORGIA,304,BIG OAK,31.060394,-81.9385286,2016,2890,6
840,34,ILLINOIS,304,KEITHSBURG,41.0847167,-90.9006359,2016,2890,14
840,38,KANSAS,304,Berwet,37.7959759,-97.4634159,2016,2890,22
840,63,NORTH CAROLINA,304,GUPTON,36.176991,-78.2113363,2016,2890,5
840,83,TEXAS,304,LAREDO,27.7100642,-99.72838,2016,2890,12
840,27,GEORGIA,305,COLONELS ISLAND,31.7275586,-81.2589304,2016,2890,2
840,35,INDIANA,305,RENSSELAER,40.9699502,-87.0748779,2016,2890,2
840,63,NORTH CAROLINA,305,RHEASVILLE,36.4653338,-77.694212,2016,2890,6
840,17,COLORADO,306,FORT MORGAN,40.3492697,-103.7997669,2016,2890,3
840,27,GEORGIA,306,GLENMORE,31.1219928,-82.8050351,2016,2890,53
840,35,INDIANA,306,FRANKFORT,40.1985767,-86.4502189,2016,2890,1
840,63,NORTH CAROLINA,306,OLD TRAP,36.1860407,-76.0089199,2016,2890,11
840,17,COLORADO,307,JULESBURG,40.9679121,-102.3257889,2016,2890,1
840,27,GEORGIA,307,THORNTON ROAD,31.6994191,-82.4003766,2016,2890,13
840,34,ILLINOIS,307,CLAYTON,40.0179525,-90.9316336,2016,2890,11
840,38,KANSAS,307,Plymell,37.8296057,-100.8706786,2016,2890,30
840,27,GEORGIA,308,UNION,32.4826257,-82.0547405,2016,2890,4
