countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
124,11,British Columbia,608,PARK RILL,49.25746,-119.5261,2016,3131,Columbidae,4
840,14,CALIFORNIA,21,HUGHSON,37.5947824,-120.860951,2016,3131,Columbidae,9
840,14,CALIFORNIA,49,PALO VERDE,33.3339864,-112.677217,2016,3131,Columbidae,1
840,14,CALIFORNIA,54,ORANGE COVE,36.6315997,-119.3047559,2016,3131,Columbidae,25
840,14,CALIFORNIA,59,INYOKERN,35.6076917,-117.800197,2016,3131,Columbidae,2
840,14,CALIFORNIA,79,COHASSET,39.9935292,-121.704424,2016,3131,Columbidae,3
840,14,CALIFORNIA,89,NILAND,33.2200507,-115.4847789,2016,3131,Columbidae,11
840,14,CALIFORNIA,112,PEARBLOSSOM,34.5208799,-117.9406162,2016,3131,Columbidae,10
840,14,CALIFORNIA,127,SANGER,36.6992615,-119.5118359,2016,3131,Columbidae,2
840,14,CALIFORNIA,138,CRESTON,49.07317,-116.52268,2016,3131,Columbidae,1
840,14,CALIFORNIA,151,LIKELY,41.2351468,-120.3368295,2016,3131,Columbidae,2
840,14,CALIFORNIA,153,GOLD HILL,38.7687607,-120.9253159,2016,3131,Columbidae,4
840,14,CALIFORNIA,155,WESTLEY,37.5141365,-121.1597352,2016,3131,Columbidae,2
840,14,CALIFORNIA,158,SATTLEY,39.6153759,-120.4258218,2016,3131,Columbidae,1
840,14,CALIFORNIA,165,DAVIS CREEK,41.7332787,-120.3753129,2016,3131,Columbidae,1
840,14,CALIFORNIA,166,DORRIS,41.9998861,-121.8916067,2016,3131,Columbidae,12
840,14,CALIFORNIA,172,MORAGA,37.8183531,-122.1464708,2016,3131,Columbidae,5
840,14,CALIFORNIA,177,CEDARVILLE,41.5295757,-120.1718519,2016,3131,Columbidae,87
840,14,CALIFORNIA,186,MARK WEST,38.5498734,-122.719303,2016,3131,Columbidae,27
840,14,CALIFORNIA,189,COYOTE,37.2521703,-121.6774341,2016,3131,Columbidae,19
840,14,CALIFORNIA,190,COPPEROPOLIS,37.9834939,-120.6452578,2016,3131,Columbidae,4
840,14,CALIFORNIA,195,GREENFIELD,36.257393,-121.4234494,2016,3131,Columbidae,6
840,14,CALIFORNIA,240,WILLOW SPRINGS 2,34.971073,-118.148742,2016,3131,Columbidae,2
840,14,CALIFORNIA,252,Hollister 2,36.8242987,-121.2813,2016,3131,Columbidae,13
840,14,CALIFORNIA,345,Harbor Lake 2,33.7909207,-118.2918,2016,3131,Columbidae,7
840,14,CALIFORNIA,357,POLOMA,38.3539344,-120.6797897,2016,3131,Columbidae,4
840,14,CALIFORNIA,503,Tracy 2,37.665124,-121.73284,2016,3131,Columbidae,19
840,14,CALIFORNIA,901,GAZELLE,41.5209207,-122.5202179,2016,3131,Columbidae,1
840,17,COLORADO,4,HARMONY,40.5090827,-105.0392299,2016,3131,Columbidae,1
840,17,COLORADO,19,RUSH,38.8398807,-104.0920409,2016,3131,Columbidae,17
840,17,COLORADO,35,HUDSON,40.3052417,-104.6963429,2016,3131,Columbidae,9
840,17,COLORADO,44,BETHUNE,39.3883077,-102.4274519,2016,3131,Columbidae,5
840,17,COLORADO,49,EDISON,38.6945177,-104.0715939,2016,3131,Columbidae,2
840,17,COLORADO,55,ALAMOSA,37.1810849,-105.7459646,2016,3131,Columbidae,10
840,17,COLORADO,58,CAMPO,37.1052137,-102.5796589,2016,3131,Columbidae,12
840,17,COLORADO,205,GROVER,40.8566157,-104.5420149,2016,3131,Columbidae,27
840,17,COLORADO,207,AMHERST,40.6141447,-102.0845649,2016,3131,Columbidae,4
840,17,COLORADO,216,PAONIA,38.8387837,-107.6025079,2016,3131,Columbidae,1
840,17,COLORADO,305,NUNN,40.8627005,-104.6390073,2016,3131,Columbidae,33
840,17,COLORADO,306,FORT MORGAN,40.3492697,-103.7997669,2016,3131,Columbidae,22
840,17,COLORADO,307,JULESBURG,40.9679121,-102.3257889,2016,3131,Columbidae,5
840,17,COLORADO,312,BENNETT,39.7238537,-104.3773535,2016,3131,Columbidae,10
840,17,COLORADO,314,BURLINGTON,39.1718637,-102.1105579,2016,3131,Columbidae,7
840,17,COLORADO,319,ELLICOTT,38.5495769,-104.4588733,2016,3131,Columbidae,4
840,17,COLORADO,320,KARVAL,38.7624107,-103.3489149,2016,3131,Columbidae,2
840,17,COLORADO,321,SHERIDAN LAK,38.2460697,-102.2107619,2016,3131,Columbidae,63
840,17,COLORADO,326,WALSENBURG,37.6176717,-104.7749029,2016,3131,Columbidae,1
840,17,COLORADO,359,RIFLE FALLS,39.7578337,-107.6922689,2016,3131,Columbidae,2
840,17,COLORADO,374,MOON PASS,37.8392179,-106.2560823,2016,3131,Columbidae,34
840,17,COLORADO,412,PROSPECT VALLEY 2,39.9848652,-104.5086695,2016,3131,Columbidae,12
840,17,COLORADO,419,DOYLE BRIDGE 2,38.0641056,-104.4189177,2016,3131,Columbidae,6
840,17,COLORADO,422,Cortez 2,37.5166544,-108.46451,2016,3131,Columbidae,8
840,18,CONNECTICUT,3,BUCKINGHAM,41.7026037,-72.5159969,2016,3131,Columbidae,2
840,18,CONNECTICUT,4,UNCASVILLE,41.417728,-72.1530946,2016,3131,Columbidae,2
840,18,CONNECTICUT,14,MID HADDAM,41.5651229,-72.5906625,2016,3131,Columbidae,6
840,18,CONNECTICUT,15,SOUTHINGTON,41.5832977,-72.8512329,2016,3131,Columbidae,1
840,18,CONNECTICUT,116,GRANBY,41.8805267,-72.9557559,2016,3131,Columbidae,14
840,21,DELAWARE,1,MT PLEASANT,39.5003037,-75.6860679,2016,3131,Columbidae,3
